"5748 07
5748 11
5748 15
5748 16
5748 17
5748 18
5748 23
5748 26
5748 20
5748 27
5748 30",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"5748 27
5748 29
5748 30
5748 31
5748 32
5736 57","Light dimmer -
60 to 400 watts - 2 module","1596
1276
1572
1682
1668
1492",10/100
,,"Fan step regulator -
100 watts (ISI) - 1 module",,1/5/50
,,"Fan step regulator -
100 watts (ISI) - 2 module",,1/10/100
,,"Fan step regulator -
120 watts (ISI) - 2 module
( for 48 & 56"" fans )",,1/10/100
,,"Fan step regulator -
2 module
for energy saving fan",,1/10/100
,,"Fan Regulator - 8 Step -
100W - 2 Module",,1/10/100
