Model,"Aux.
Supply
(V)","Output
Contacts","Device
Code",Cat. No.,"M.R.P.
(`)
Per Unit"
MC61AnX,"24 - 240V
AC/ DC",2 NO + 2 NC,"51, 51N,
50, 50N",MC61ANX2200,23000
,,4 NO,,MC61ANX4000,
