IDH No.,Product Description,Pack Size,MRP `
209818,LOCTITE 5070 Pipe Repair,2 IN x 6 FT,"9,470"
269078,LOCTITE 5070 Pipe Repair,4 IN x 12 FT,"12,788"
1035886,LOCTITE Transformer Repair Kit,Kit,"28,904"
