"6795 62
6793 16
6795 64
6795 68
6795 72",Cat.Nos,Description,"MRP
` /
Uni","*
Pack
t"
,"6795 61
6795 62
6795 63
6795 64
6795 66
6795 68
6795 69
6795 72
6795 76
6795 78","PLATE+FRAME
1M PEARL CHAMPAGNE","356
374
398
432
772
842
1056
1276
1484
1708",1/5/30
,,"PLATE+FRAME
2M PEARL CHAMPAGNE",,1/5/30
,,"PLATE+FRAME
3M PEARL CHAMPAGNE",,1/0/20
,,"PLATE+FRAME
4M PEARL CHAMPAGNE",,1/0/20
,,"PLATE+FRAME
6M PEARL CHAMPAGNE",,1/0/10
,,"PLATE+FRAME 8M PEARL
CHAMPAGNE",,1/0/10
,,"PLATE+FRAME 2X4M
PEARL CHAMPAGNE",,1/0/5
,,"PLATE+FRAME 12M
PEARL CHAMPAGNE",,1/0/5
,,"PLATE+FRAME 16M
PEARL CHAMPAGNE",,1/0/5
,,"PLATE+FRAME 18M
PEARL CHAMPAGNE",,1/0/5
