"4062 50
4062 52
4062 78
4062 82",Cat.Nos,Description,"Number of
17.5 mm
modules","MRP*
` /
Unit",Pack
,"4062 86
4062 90
4062 91
4062 93
4062 95
4062 88
4062 89","Pop over
voltage
release","1
1
1
2
2
2
2",3308,"1
1
1
1
1
1
1"
,,"Motor control
24/48 V AC/
DC",,11926,
,,"Motor control
110/415 V AC",,11926,
,,"Motor control
24/48 V AC/
DC",,22452,
,,"Motor control
110/415 V AC",,21206,
,,"Automatic
resetter",,15836,
,,"Automatic
resetter
with autotest",,19820,
