"0325 13
0325 10",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0325 04
0325 05
0325 06
0325 07","Indoor/outdoor
(universal) 6 fibres","


",2000
,,"Outdoor, corrugated steel tape
6 fibres",,2000
,,"Indoor/outdoor
(universal) 12 fibres",,2000
,,"Outdoor, corrugated steel tape
12 fibres",,2000
