"4122 50
4122 561
4122 51
4122 52
4122 571
4122 53",1P,-,8 kA,No,1,7678
,1P+N,Right,16 kA,No,2,13964
,2P,-,16 kA,No,2,14834
,3P,-,25 kA,No,3,20900
,3P+N,Right,25 kA,No,4,25402
,4P,-,32 kA,No,4,26922
