"4162 96
4163 56",Cat.Nos,"Max. opt.
current
AC 3","Max. opt.
current
AC 1","Control
voltage","MRP*
` /
Unit",Pack
,"4163 56
4163 59",800A,"900 A
900 A","200-
240 V~/=","204956
204956",1
,,800 A,,"380-
450 V~",,1
