TRUNKING AND ACCESSORIES,,,,,,,,,,,,
,,,,,Rigid covers,,,,"Cover
Joint","Trunking
Base
Joint",,
"Width
(mm)","No0s1.0 4o2f2 +105
co mpartments",,"2C2-5o9v3e0r2ss. e
width","psCat.
nos.","65 mm
width","85 mm
width","130 mm
width","180 mm
width",,,,
105 x 50,1,010432+1052,"1 x 85
1+10472-593","111 00
07s.eps",-,0111 11,-,-,0111 63,0111 66,,
150 x 50,2,010452+10522+,"2 x 65
10472-5931","0111 02
5s.eps",2 x 0111 10,-,,-,0111 62,0111 66,,
195 x 50,2,,2 x 85,0111 04,-,2 x 0111 11,-,-,0111 63,0111 66,,
