Incoming Device [8536],,,
"SMDB
Type",Description,Cat. No.,"M.R.P.
(`)
Per Unit"
TN250D*,DN1-250C 3 Pole MCCB - 160A,CM90638OOMO,15200
,DN1-250C 3 Pole MCCB - 200A,CM90638OONO,19070
,DN1-250C 3 Pole MCCB - 250A,CM90638OOPO,21840
TN400D,DN3-400D 3 Pole MCCB - 320A,CM94005OOQ1OG,32600
,DN3-400D 3 Pole MCCB - 400A,CM94005OOR1OG,32600
TN630D,DN3-630D 3 Pole MCCB - 500A,CM94006OOS1OG,41980
,DN3-630D 3 Pole MCCB - 630A,CM94006OOT1OG,41980
