"6794 49
6794 52
6794 53
6794 55
6794 60
6794 62
6794 64
6794 67",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"6794 67
6794 68
6794 69","Preterminated AV connec-
tor 1M","2112
2590
2590",1/10
,,"Preterminated HDMI socket
1M",,1/10
,,"Preterminated projector
connector 1M",,1/10
