"No. of steps
(For Contactor
Switching)",Size,Cat. No.,"Single
CT input","Voltage
Input","M.R.P.
(`)
Per Unit"
4,96 x 96,CS90884OOOO,1/ 5 Amp,415 V,9800
6,96 x 96,CS90885OOOO,,,12500
8,96 x 96,CS90902OOOO,,,14800
12,144 x 144,CS90903OOOO,,,17900
14,144 x 144,CS90904OOOO,,,19800
16,144 x 144,CS90905OOOO,,,21800
