,"6772 12
6772 13
6772 14
6772 15",20 A Switch 1 W 1 module,"286
418
426
476",20/200
,,"20 A DP Switch 1 W
2 module",,10/100
,,"20 A DP Switch 1 W with
indicator 2 module",,10/100
,,"20 A Switch 2 way
2 module",,10/100
