Description,Cat. No.,"M.R.P.
(`)
Per Unit"
"3Ph 4 W kWh CT op base mtg 240V, /5A, Acc 0.5s",WR301BC3C00,5380
3Ph 4 W kWh Dir base mtg 240V 5- 30 A Acc 1,WR301BC4D20,4507
3Ph 4 W kWh Dir base mtg 240V 10- 40 A Acc 1,WR301BC6D20,4640
3Ph 4 W kWh Dir base mtg 240V 10- 60 A Acc 1,WR301BC7D10,5877
3Ph 4 W kWh Dir base mtg 240V 20- 100 A Acc 1,WR301BC8D10,8522
