Model,"Single
CT input","Voltage
input",oltage,,M.R.P.
,,,,Cat. No.,"(`)
Per Unit"
5 Step APFC Controller (96 x96),1 A / 5 A,"415V /
110 V",,ETACONM005R,15600
8 Step APFC Controller (144 x144),,,,ETACONM008R,19400
