"4120 52
4120 53","Cat.
Nos",Description,"MRP*
` /
Unit",kcaP
,4120 53,"Power Quality & Network
Analyzer with Data Logger","
",1
,4120 55,"R485 communication module
with Modbus link","
",1
,4120 59,"2 Pulse ouput module for
energy count","
",1
,4120 57,2 inputs / 2 outputs module,,1
,4120 60,2 analog outputs module,,1
,4120 58,Temperature module,,1
