"5734 13
5734 59
5734 05
5734 14
5722 20
5734 63",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"5734 62
5734 16
5734 63
5734 69
5734 68
5736 53","Light dimmer
60 to 400 watts - 2 module","1344
1106
1368
1460
1456
1302",10/100
,,"Fan step regulator
100 watts (ISI) - 1 module",,1/5/50
,,"Fan step regulator
100 watts (ISI) - 2 module",,1/10/100
,,"Fan step regulator
120 watts (ISI) - 2 module
(for 48 & 56"" fans)",,1/10/100
,,"Fan step regulator -
2 module
for energy saving fans",,1/10/100
,,"Fan regulator - 8 Step -
100W - 2 module",,1/10/100
