"No. of O/P steps
(for Thyristor
switching)",Size,Cat. No.,"Single
CT input","Voltage
Input","M.R.P.
(`)
Per Unit"
6,96 x 96,CS91613OOOO,1/ 5 Amp,415 V,13100
8,144 x 144,CS91614OOOO,,,15600
12,144 x 144,CS91615OOOO,,,19100
15,144 x 144,CS91616OOOO,,,22600
