"5736 25
5736 42
5735 64
5736 61
5727 44
5726 53
5727 73
5727 74",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"5727 72
5727 73
5727 74","Double RCA socket
(audio) - 1 module","5800
4524
5146",1/20
,,"Triple RCA socket
(audio & video) - 1 module",,1/20
,,"Female 3.5 mm Jack -
1 module",,1/20
