"Rated
Current
(A)",Type,Description,Suitable fuse-link,,Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
,,,Type,Range (A),,,
32,HCO 32,Fuse holder,HF,2-32,SK91314,275,10
63,HC 63,Fuse holder,HF,2-63,SK91043,310,10
160,HB 160,Fuse base,HN-Size 000 & 00,63-160,SK90405,420,12
250,HB 250,Fuse base,HN-Size 0 & 1,80-250,SK90406,920,3
800,HB 800,Fuse base,HN-Size 2 & 3,200-800,SK91051,1795,3
