Size,"AC3
Rating
(A)","AC1
Rating
(A)",Type,"Aux.
Contacts",Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
"Fr 1
(DC Control
Coil)",9,25,MDX 9,1 NO,CS96564,1835,1
,12,28,MDX 12,1 NO,CS96565,2170,1
,18,32,MDX 18,1 NO,CS96566,2535,1
,25,32,MDX 25,1 NO,CS96567,3515,1
"Fr 2
(DC Control
Coil)",32,56,MDX 32,#,CS96552,6795,1
,38,56,MDX 38,#,CS96553,9260,1
"Fr 3
(Electronic
Coil-AC/DC)",50,90,MDX 50,#,CS91584,13510,1
,65,110,MDX 65,#,CS91585,15295,1
,80,125,MDX 80,#,CS91586,18935,1
,95,125,MDX 95,#,CS91857,22655,1
,110,125,MDX 110,#,CS91858,25255,1
