"5748 34
5748 35
5748 45
5748 47
5748 50",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"5748 47
5748 48
5748 49
5748 50","Information socket -
category 5e - UTP -
1 module","724
778
1106
1164",20/200
,,"Information socket -
category 5e - UTP -
2 module",,10/100
,,"Information socket -
category 6 - UTP -
1 module",,20/200
,,"Information socket -
category 6 - UTP -
2 module",,10/100
