IDH No.,Product Description,Pack Size,MRP `
135543,LOCTITE LB 771 Nickel Anti Seize,1 lb,"3,472"
2096331,LOCTITE LB 8008 C5-A,1 kg,"2,635"
209758,LOCTITE LB 8009,510 g,"3,088"
234290,LOCTITE LB 8013 High Performance Anti-seize (N-7000),2 lb,"18,819"
1024403,LOCTITE LB 8040 Freeze & Release,310 ml,"2,725"
833783,LOCTITE LB 8150,500 g,"2,484"
2756479,LOCTITE LB 8203,400 ml,444
