"5736 22
5736 27
5736 28",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"5736 29
5736 75
5736 28","Information socket -
category 5e - UTP -
1 module","724
736
1106",20/200
,,"Information socket -
category 5e - UTP -
2 module",,10/100
,,"Information socket -
category 6 - UTP -
1 module",,20/200
