,Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"1467 01
1467 11","Single-phase switching
modules power
supply - 15 W - input
100-240 V~ / output 5 V=","5494
5952",1
,,"Single-phase switching
modules power
supply - 24 W - input
100-240 V~ / output 12
V=",,1
