"AC3
Rating
(A)","AC1
Rating
(A)",Type,"Aux.
Contacts",Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
400,630,MVO 400,2 NO + 2 NC,CS90097,190605,1
500,630,MVO 500,2 NO + 2 NC,CS90098,247350,1
630,820,MVO 630,2 NO + 2 NC,CS90099,314340,1
820,1000,MVO 820,2 NO + 2 NC,CS90077,475765,1
