"4173 01
4173 02
4173 03
4173 04
4173 05
4173 06
4173 07
4173 08
4173 09","0.06
0.09","0.16
0.16 to
0.25
0.25 to
0.4","3.3
5.2","3944
3944","1
1"
,0.12,"0.4 to
0.63",8.2,4582,1
,"0.18 /
0.25","0.63
to 1",13,4582,1
,"0.37 /
0.55",1 to 1.6,20.8,4614,1
,0.75,"1.6 to
2.5",32.5,4700,1
,1.5,2.5 to 4,52,4772,1
,2.2,4 to 6,78,4794,1
,3,5 to 8,104,4794,1
