"5742 23
5742 24
5742 26
5742 29
5742 37
5742 31
5742 36
5742 34
5742 35",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"5742 43
0676 97
0676 94
0676 95","Micro module switch with
neutral, 300 W","7788
10106
9454
12462",1/24
,,Shutter micromodule,,1
,,"Wireless switch on/off
module for mechanical
switch (auxilary)",,1
,,Portable remote,,1
