Model Name,"No. of steps
(For Contactor switching)","No. of steps
(For Thyristor switching)",Voltage Input,Cat No.,Size,"M.R.P. (`)
Per Unit"
etaULTRA 8R,8,0,110 / 415,CS91050OOOO,144 x 144,19000
etaULTRA 16R,16,0,,CS91051OOOO,,25000
etaULTRA 14T+2R,2,14,,CS91053OOOO,,25000
w etaULTRA 8T+8R,8,8,,CS91054OOOO,,19000
