Model,"Aux.
Supply
(V)","Output
Contacts","Device
Code",Cat. No.,"M.R.P.
(`)
Per Unit"
MC31AnX,"24 - 240V
AC/ DC",2 NO + 2 NC,"51, 51N",MC31ANX2200,21000
,,4 NO,,MC31ANX4000,
