"4170 00
4170 01",Cat.Nos,"Max. opt.
current
AC 3","Max. opt.
current
AC 1","Control
voltage","MRP*
` /
Unit",Pack
,"4170 50
4170 51
4170 54
4170 56
4170 59",12 A,"20 A
20 A
20 A
20 A
20 A",24 V~,"1648
2468
1648
1648
1648",1
,,12 A,,24 V=,,1
,,12 A,,110 V~,,1
,,12 A,,230 V~,,1
,,12 A,,415 V~,,1
