"0106 91
0108 00
0108 01
0108 02
0108 04
0108 06","Body / Base joint -
For aligning bases during instal-
lation","90
192
158
244
418
384",20/200
,Cover joint for 40 mm width,,10/100
,Cover joint for 65 mm width,,10/100
,Cover joint for 85 mm width,,10/100
,Cover joint for 130 mm width,,10/100
,Cover joint for 180 mm width,,10/100
