"0893 07
0540 15
0540 16
0540 17
0540 23
0540 34
0540 36",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0540 34
0540 35
0540 36","RJ45 Cat 6 UTP
retractable Kit - 1 module","4052
5666
3838",1
,,"RJ45 Cat 6 FTP retractable Kit
- 1 module",,1
,,"USB/ Micro-USB Retractable Kit
- 1 module",,1
