70 KA,DPX³ 250,"40
100
160
250",4206 35,"38820
39210
51350
58628",1,4206 45,51356,1
,,,4206 37,,1,4206 47,51356,1
,,,4206 38,,1,4206 48,58990,1
,,,4206 39,,1,4206 49,75664,1
,DPX³ 630,"320
400
500
630",4220 77,"68640
68640
78098
78098",1,4220 82,88602,1
,,,4220 78,,1,4220 83,88602,1
,,,4220 79,,1,4220 84,99596,1
,,,4220 80,,1,4220 85,99596,1
,DPX³ 1600,"800
1000
1250
1600",4223 24,"140170
196424
235228
316214",1,4223 30,177384,1
,,,4223 25,,1,4223 31,280334,1
,,,4223 26,,1,4223 32,327052,1
,,,4223 27,,1,4223 33,389332,1
