"4173 62
4173 63
4173 64
4173 65
4173 66
4173 67
4173 68",7.5,11 to 17,221,12610,1
,7.5,14 to 22,286,14292,1
,11,18 to 26,338,14292,1
,15,22 to 32,416,14292,1
,18.5,28 to 40,520,15974,1
,22,34 to 50,650,19620,1
,30,45 to 63,819,20932,1
