"Side
Mounting",,,Suitable for,,
,Aux Contact,ML 4/6,"M.R.P.
(`)
Per Unit",ML 12,"M.R.P.
(`)
Per Unit"
Left,1 NO + 1 NC,SS91494^,965,,
Right,1 NO + 1 NC,,,SS91474^,965
