Rating,"Breaking
Capacity
Icu=Ics=Icw
(1 sec)",Version
400A,50kA,3P MF
630A,50kA,3P MF
800A,50kA,3P MF
1000A,50kA,3P MF
1250A,50kA,3P MF
1600A,50kA,3P MF
2000A,50kA,3P MF
