"4168 80
4168 87","Mechanical interlocks
for CTX3 3P from
9 to 150 A
Provides 2 NC
contacts for use in
electrical
interlocking",2652,1
,"Mechanical interlocks
for CTX3 3P from
185 to 400 A and
CTX3 4P from
165 to 500 A",4600,1
