,Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"4168 82
4168 83
4168 84
4168 85",For CTX3 22,1340,5
,,For CTX3 40,1812,5
,,For CTX3 65,2234,5
,,For CTX3 100,3738,5
