"AC3 Rating
(A)",Type,Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
16A,MU16-2P,CS90117,940,10
25A,MU25-2P,CS90118,1150,10
40A,MU40-2P,CS90119,1460,10
