"6380 08
6380 01
6380 32
6380 12
0 13
0 35
0 34
0 71
0 72
1 04
0111 08
6
0111 61",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0111 66
0111 62
0111 63
0111 58
0111 60
0111 61",Base / Body joint,"312
428
456
930
1990
2362",20/100
,,Cover joint - 65 mm,,10
,,Cover joint - 85 mm,,10/100
,,End cap,,20/100
,,End cap,,10
,,End cap,,10
