,"6774 12
6774 13
6774 14
6774 15",20 A Switch 1 W 1 module,"334
482
490
554",20/200
,,"20 A DP Switch 1 W
2 module",,10/100
,,"20 A DP Switch 1 W
with indicator 2 module",,10/100
,,"20 A Switch 2 W
2 module",,10/100
