Description,Type,Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
"Auxiliary Contact Kit
(1NO + 1 NC)",FNX 32 / 63,SK91537,*,1
,FNX 100,SK91538,*,1
,FNX 125 / 160,SK91539,*,1
,FNX 200 / 250,SK91540,*,1
,FNX 315 / 400 / 630 / 800,SK91541,*,1
Handle Assembly,FNX 32 / 63 / 100,SK91524,*,1
,FNX 125 / 160 / 200 / 250,SK91525,*,1
,FNX 315 / 400 / 630 / 800,SK91526,*,1
Castell Type Lock$,FNX 32 / 63 / 100,SK91530,*,1
,FNX 125 / 160 / 200 / 250,SK91531,*,1
,FNX 315 / 400 / 630 / 800,SK91531,*,1
DIN Rail Assembly,FNX 32 / 63 / 100,SK91617,*,1
