"Modules for
MTX2.0 release",Cat. No.,"M.R.P. (`)
Per Unit"
"Current Metering Module
(Display & Metering Module)",CM95698OOOO,29520
Cable (2m length),CM01196OOOO,1540
Power Supply Module,CL90722OOOO,*
"UNCO Module for Status Indication
& Control through communication",CL90852OOOO,12500
