"0112 47
0112 51
0112 12
0106 82
0111 88
0308 81",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"6530 84
6530 86
6530 87
6530 88",Table - white finish,"39124
25804
27138
17810",1
,,Movable foot - white finish,,1
,,Movable foot - aluminum finish,,1
,,"Set of 4 wheels with cable
holder",,1
