"Rated
Current",Description,Cat. No.,"M.R.P. (`)
Per Unit","Std. Pkg.
(Nos.)"
"For AC control std. Coil Voltage - 24, 110, 240, 415V, 50Hz",,,,
"AC-15
4A
at 415V",MO0 40E (4NO),CS91623,915,10
,MO0 31E (3NO + 1NC),CS91624,915,10
,MO0 22E (2NO + 2NC),CS91625,915,10
"For DC control std. Coil Voltage - 24, 48, 110, 220",,,,
"AC-15
w 4A
at 415 V",MO0 40E (4NO),CS90045,2085,10
,MO0 31E (3NO + 1NC),CS90046,2085,10
,MO0 22E (2NO + 2NC),CS90047,2085,10
