"AC3 Rating
(A)",Type,Cat. No.,"M.R.P.
(`)
Per Unit","Std.
Pkg.
(Nos.)"
25A,MR 11W,CS94176,1200,10
25A,MR 11NW,CS94178,1280,10
40A,MR 13,CS94992,1310,40
