Description,Cat. No.,"M.R.P.
(`)
Per Unit"
Terminal Adaptor for Fixed Omega ACBs,,
Frame-1 400-2000A N/S (Vertical / Horizontal),CL60967OOOO,*
Frame-1 400-2000A H (Vertical / Horizontal),CL60968OOOO,
Frame-1 2500A S/H (Vertical),CL60976OOOO,
Frame-2 400-2500A N/S (Vertical / Horizontal),CL60122OOOO,
"Frame-2 400-3200A H, 3200A N/S (Vertical / Horizontal)",CL60977OOOO,
Frame-2 4000A S/H (Vertical),CL60417OOOO,
Frame-3 400-4000A H/V (Vertical)#,CL60418OOOO,
Frame-3 5000A H/V (Vertical)#,CL60347OOOO,
Frame-3 400-5000A H/V (Horizontal-Long),CL60373OOOO,
