Frame,Accessories,"Total Set
M.R.P. (`)",Remarks
DN2,"2 Nos : SEOMs with Aux + Trip Alarm Contact
+
1 No. : MIL
+
1 No. : AuXC2000",103355,"Add MRPs of Similar 2 MCCBs of DN2 of
desired no. of Poles, Breaking Cap. &
Release to arrive at ASTS Solution."
DN3-400,,122650,"Add MRPs of Similar 2 MCCBs of DN3 of
desired no. of Poles, Breaking Cap. &
Release to arrive at ASTS Solution."
DN3-630,,123420,
