IDH No.,Product Description,Pack Size,MRP `
233307,LOCTITE SF 8220,113.7 ml,"7,420"
226595,LOCTITE MR 5408 Belt Dressing,12 oz,"1,573"
209820,LOCTITE MR FLEX 80 Liquid,1 lb,"23,202"
209821,LOCTITE MR FLEX 80 Putty,1 lb Kit,"13,235"
2084201,LOCTITE PC 7350 Conveyor Belt Repair,800 g,"16,106"
