"0106 82
0107 81
0107 80
0107 83
0107 82
0308 81
0106 98
0106 87
0106 89
0109 21
0109 53
0109 41
0109 61
0109 27
0109 25",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0109 25
0109 35
0109 65
0109 00","For 2 modules for 65 mm cover
(2 comp.)","1260
1482
1670
2426",5
,,"For 3 modules for 85 mm
cover (2 comp.)",,5
,,"For 6 modules for 130 mm
cover (1 comp.)",,5
,,"Hypra socket support -
for 130 mm cover",,5
