Model,"Aux.
Supply
(V)",Cat. No.,"M.R.P.
(`)
Per Unit"
TCS01nX,20 - 110 V AC/ DC,TCS01NXA000,8500
,88 - 264 V AC/ DC,TCS01NXB000,
