"4122 70
4122 761
4122 71
4122 72
4122 771
4122 73",1P,-,12.5 kA,No,1,9190
,1P+N,Right,25 kA,Yes,2,16170
,2P,-,25 kA,No,2,17748
,3P,-,37.5 kA,Yes,3,22002
,3P+N,Right,50 kA,Yes,4,29482
,4P,-,50 kA,No,4,26988
