"6792 22
6792 26
6792 36
6792 40
6792 42",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"6792 36
6792 37
6792 39
6792 40
6792 41
6792 42
6792 31",Rotary Dimmer 400W 1M,"1172
1768
910
1042
1128
1092
954",5/50
,,"Rotary Light Dimmer 500W
2M",,10/100
,,"Fan Regulator 100W ISI
1M",,5/50
,,"Fan Regulator 100W 360
Degree ISI 2M",,10/100
,,"Fan Regulator 120W 360
Degree ISI 2M",,10/100
,,Fan Regulator 70W ISI 2M,,1/10/100
,,"Fan regulator 8 step 100w
2 Module",,1/10/100
