"4167 31
4167 65",Cat.Nos,"I min.
(A)","I max.
(A)","MRP*
` /
Unit",Pack
,"4167 60
4167 61
4167 62
4167 63
4167 64
4167 65",45,"65
75
85
105
130
150",9568,"1
1
1
1
1
1"
,,54,,9568,
,,63,,9568,
,,80,,9568,
,,95,,9568,
,,110,,9568,
