"6792 68
6792 70
6792 71
6792 89
6792 93
6793 16
6792 98",Cat.Nos,Description,"MRP
` /
Uni","*
Pack
t"
,"6793 08
6793 09
6793 10","Touch Switch 2M 1 way-2
Switch 1000W","3606
3606
4166","1/50
1/50
1/50"
,,"Touch Switch 2M 1 way
1440W",,
,,"Touch Switch 2M 2 way
1000W",,
