,"6811 56
6811 57
6811 58
6811 59
6811 60
6811 61
6811 62
6811 63
6811 64
6811 65","6A MCB SP C Curve, 1 module","382
382
382
382
382
382
724
724
724
724",1/10/100
,,"10A MCB SP C Curve, 1 module",,1/10/100
,,"16A MCB SP C Curve, 1 module",,1/10/100
,,"20A MCB SP C Curve, 1 module",,1/10/100
,,"25A MCB SP C Curve, 1 module",,1/10/100
,,"32A MCB SP C Curve, 1 module",,1/10/100
,,"16A MCB DP C Curve, 2 module",,1/10/100
,,"20A MCB DP C Curve, 2 module",,1/10/100
,,"25A MCB DP C Curve, 2 module",,1/10/100
,,"32A MCB DP C Curve, 2 module",,1/10/100
