SUPPORT FOR WIRING ACCESSORIES,,
60 mm fixing centers : Arteor™,Cover depths,
"010921-54341o
No of module",".eps
65 mm",85 mm
"010931-57000o
2 modules",".eps
0112 02",0112 12
,,
"010941-54342o
3 modules",".eps
0112 03",0112 13
,,
"010941-54343o.
4 modules","eps
112 04",0112 14
,0,
6 modules,0112 06,0112 16
,,
