Model,"Aux.
supply","Thermal
O/L Range
(A)","Device
Code",Cat. No.,"M.R.P.
(`)
Per Unit"
MPR300,240V AC,1 - 2.75,"49, 51LR,
64, 37, 46,",MPR300BE010,7900
,,2 - 5.5,,MPR301BE020,8500
,,4 - 11,,MPR302BE040,9100
,,8 - 22,,MPR303BE080,9700
,,16 - 44,,MPR304BE160,10300
,,32 - 88,,MPR305BE320,10900
,110V AC,1 - 2.75,,MPR300BB010,7900
,,2 - 5.5,,MPR301BB020,8500
,,4 - 11,,MPR302BB040,9100
,,8 - 22,,MPR303BB080,9700
,,16 - 44,,MPR304BB160,10300
,,32 - 88,,MPR305BB320,10900
