"5736 59
5736 14
5727 20
5736 16
5727 39
5736 71",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"5736 71
5736 67
5737 10
5736 66","Socket shuttered - 6/16
A - 3 pin - (ISI) - Indian - 2
module","644
786
1822
784",10/100
,,"Socket shuttered - 6/16
A - 3 pin - (ISI) - Indian - 3
module",,5/50
,,"Socket with switch -
16 A - 3 pin - 2P+E - Indian
3 module",,5/50
,,25 A socket - 2 module,,10/100
