"0104 12
0105 21
0105 82
0106 91
0108 01
0106 02
0106 22
0107 67
0107 22
0107 32
0107 35",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0107 32
0107 35
0107 36
0107 37","Flat junctions to tap-off to a
branch smaller than
50 x 105","1064
620
616
616",10
,,"For specific size tap-off to 80
mm wide branch",,5
,,"For tap-off to an 105 mm wide
branch equipped with an 85
mm cover",,5/25
,,"Flat junction for specific size
- tap off to an 105 mm wide
branch with 65 mm cover",,5/25
