"4168 91
4168 97
4168 40",Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"4169 00
4169 02
4169 04
4169 06
4169 08
4169 09",24 V~,846,5
,,48 V~,846,5
,,110 V~,846,5
,,230 V~,846,5
,,380 V~,846,5
,,415 V~,846,5
