Description,Module,Cat. No.,"M.R.P. (`)
Per Unit"
RED,1,AUIL01RED00,985
YELLOW,1,AUIL01YEL00,985
BLUE,1,AUIL01BLU00,985
GREEN,1,AUIL01GRE00,985
RED-YELLOW-BLUE,1,AUIL01RYB00,1195
