"4174 12
4174 22",,Cat.Nos,Description,"MRP*
` /
Unit",Pack
,,"4174 20
4174 21
4174 22","24 V~ 50 Hz /
28 V~ 60 Hz",2448,1
,,,"110 V~ 50 Hz /
120 V~ 60 Hz",2448,1
,,,"220-230 V~ 50 Hz /
240-260 V~ 60 Hz",2448,1
